song_id,song_name,play_count,artist_name,artist_id
25159744,Hello Makka Pakka!,107,Andrew Davenport,12474875
29020275,Vladimir's Blues,102,Max Richter,38883
401382178,"sorry for not answering the phone, i'm too busy trying to fly away",96,In Love With A Ghost,11991120
1317734545,躲雨,91,Sophis,1050241
1441514675,Souvenirs [Acoustic],71,Kina Grannis,63706
1877526024,忙しい生活「人山人海」,63,时空储蓄罐,46269147
1384072361,真空 Ⅱ,56,Leo1Bee,1158119
28695291,Palpitation!,54,梶浦由記,16692
506002979,Resonance,52,小瀬村晶,13773
1385796887,下雨天遇到你,50,N.K.杨凯,31181589
1447685080,Onthou,49,Ever So Blue,32631443
1431403321,Demure,44,Ever So Blue,32631443
1404314180,你在我触及不到的平行宇宙,42,FYNial,27728251
1463342884,Enouement,39,Josh Kramer,14732803
1354634080,Bloom,39,Tony Anderson,79757
487527982,飛行,39,ヨルシカ,12390232
1416756825,Not That Difficult,38,Indigo Days,31356983
2185832,Prélude,38,Alexandra Streliski,48301
522320364,Dressing,37,Marco McKinnis,12131523
1374617388,At Dawn,37,Ever So Blue,32631443
2061740,Remember Me,37,Thomas Bergersen,45336
36199955,20:17,37,Ólafur Arnalds,40858
29540374,Råklipp,36,Steve Gibbs,983030
416554194,Momentary,36,小瀬村晶,13773
29498708,真実,36,小瀬村晶,13773
28587913,Prelude (Motohiko Hirami & Yann),36,Motohiko Hirami,938023
1830493066,夏日午后时,35,陈越龙,34318335
1474959445,落山,35,陈越龙,34318335
28245304,Oana,35,Otto A Totland,893498
17241518,Runner,35,Dustin O'Halloran,31214
862102221,in love,35,vietra,12468266
1331298981,記憶の森,34,小瀬村晶,13773
29137871,η,34,α·Pav,4716
1854373137,Alter,33,小瀬村晶,13773
1467311188,Voyage,33,Hideyuki Hashimoto,0
422428083,Mr curiosity,33,万玲琳,1160094
418279945,花,33,ZING,1211068
1314007068,Emma,33,OceansWhoLied,1132878
1384541499,Glass,33,nekoi,28390500
26212426,Rainbow,33,北川勝利,12131175
1331567864,不条理,32,小瀬村晶,13773
1465211967,Les étoiles défilantes,32,Jordane Tumarinson,27892638
1304476581,《E8r钢琴曲》雨滴,32,E8r,12077223
1403701385,brot (lisboa),31,Ólafur Arnalds,40858
1430888441,距离高考还有,31,周周MG,30548303
1431399910,Traces,31,Ever So Blue,32631443
1374617387,Fragment,31,Ever So Blue,32631443
525241779,Ozean,31,Resonance,196588
28352987,A Way To You Again,31,Peter Bradley Adams,41166
1063381,Spiegel im Spiegel - For Clarinet And Piano:1. Spiegel im Spiegel,31,Alexei Lubimov,28585
18057481,In A Notebook,31,Goldmund,57968
1356220549,Beginners,30,Sleep Music Guys from I'm In Records,29821305
1821477965,Epilogue,30,Ólafur Arnalds,40858
1481575515,Changes,30,Hayd,31213402
1353531321,At Midnight,30,Rupert Sachs,31732289
16139397,This Place Is a Shelter,30,Ólafur Arnalds,40858
1805817475,Ripples,29,Sean Oban,46351878
1449953482,Wavering Heart,29,小瀬村晶,13773
1300728225,Nocturnal Waltz,29,Johannes Bornlöf,12098098
1300728243,Cabinets And Stars,29,Moulins,28772182
1352875875,Patisserie,29,Stephan Rozier,31701478
34364411,Truth Vibrations,29,Alexis Ffrench,1137507
4346235,Ø,29,the tumbled sea,102076
28245308,Pinô,29,Otto A Totland,893498
1404933765,Dreamland,28,Alexis Ffrench,1137507
426303224,Doria,28,Ólafur Arnalds,40858
1323832567,Older,28,Sasha Alex Sloan,12646102
530986903,Lucky One,28,mich,13080348
29535887,eau,28,yutaka hirasaka,15927
1961281710,Alone in the Woods,27,横山克,15917
1832606560,海鸥的夏天,27,何石,30617412
551331237,"Sonata for Two Pianos in D Major, K448: II. Andante",27,Wolfgang Amadeus Mozart,804174
29404703,That Kid in Fourth Grade Who Really Liked the Denver Broncos,27,Chris Zabriskie,1016017
36308043,Day VII,27,Ólafur Arnalds,40858
31134338,止まない雨はないから,27,Wiredscape,13057835
534604425,早上好,27,MT1990,12395708
28468154,So Cold (The Good Wife Trailer),27,Ben Cocks,226739
445666827,I'm Me,27,Us The Duo,1049685
26135461,Before it Gets Dark,27,麗美,17622
36953773,First Sunlight,27,Peter Jeremias,1181948
1331298994,募る想い,26,小瀬村晶,13773
470736153,A Careful Tearing,26,Levi Patel,844354
1452578372,Passing Through,26,Ben Crosland,14708133
475072092,Heaven,26,Zak Gott,12400023
524913181,reminisce,26,aqualina,12627118
1298660402,Thin (Lambert Rework),26,Aquilo,405300
476646283,Passi,26,Bruno Bavota,973044
1369965,Still Travelling,26,Fabrizio Paterlini,33664
29535885,call,26,yutaka hirasaka,15927
460043710,Supermarket Flowers,26,Ed Sheeran,33184
33916532,River of Gold,26,Daniela Andrade,975673
29406314,Disappear in Light,26,Equal Stones,805057
36953776,Dusk,26,Peter Jeremias,1181948
1342955359,Goden Hour,25,Jonathan Morali,827472
1824925813,Flap of a Butterfly's Wings,25,小瀬村晶,13773
1478179409,Remembering,25,Ever So Blue,32631443
1369034842,枫桥雨,25,英复光,12571457
1384447944,ヽ｀ヽ｀、ヽ｀,25,沙皮,1041026
1374606163,Snowed In,25,Conor Matthews,14658311
1365626334,잠 못 드는 그대에게,25,Standing Egg,127686
