list_id,list_name,list_url,list_tag,list_des
7530543850,舒缓轻音|拒绝考前焦虑,http://p1.music.126.net/NSQAvjyy7mzd13y-3BZkew==/109951167877218373.jpg,"轻音乐,学习,放松",放下书本，打开播放器，有时候，或许你并不是准备的不充分，你只是需要让自己静下来。赶走焦虑，你一定可以...
2195404116,[纯音乐]错落一身宁静，深海浮沉摘星,http://p1.music.126.net/Fg_8XLbz9uwJvHVLXhz5Cg==/109951163349262839.jpg,"轻音乐,夜晚",你不知道，在那一刻，我有多想将这个美丽的世界送给你。
5001418595,写作业时能集中注意力的纯音乐（治愈）,http://p1.music.126.net/_zhQ4EPg3oT62q-t33kRew==/109951167273823834.jpg,"学习,轻音乐,清新",治愈我的伤
48027131,机战 系列BGM精选 热血钢之魂！燃烧吧！,http://p2.music.126.net/x2L9vQgglR8Qi6OS5dH7sg==/7887896418414654.jpg,"日语,ACG,游戏",超级机器人大战系列原创BGM和各参战作品原声精选~ Super Robot Wars スーパーロボッ...
53419272,此生不悔入高达（TV OVA剧场版op ed）,http://p2.music.126.net/bW7lj6QVSBLatG48HB_miA==/109951163985037072.jpg,"日语,ACG,怀旧",更新非vip歌曲，白嫖的快乐~偶尔诈尸不要催更。倒叙为0079，z，zz，v，g，w，x，躺a，se...
760865416,【追忆向】高达系列动画OP/ED合辑,http://p2.music.126.net/MW2BkV7uRvNSRAac-pSVAw==/18645518185793851.jpg,"ACG,怀旧",合辑OP/ED出处：机动战士高达机动战士Z高达机动战士高达ZZ机动战士高达0080：口袋中的战争机动...
3162090874,舰伥兼，旅行者，开拓者歌单,http://p2.music.126.net/B0p-4wasR062tPXCIYmEvQ==/109951168636147727.jpg,"ACG,游戏,治愈",欢迎收听「伥」歌单。无论你是在驾驶休伯利安的舰长，还是在提瓦特冒险的旅行者，或者乘坐星穹列车的开拓者...
2920245106,现在是---琪亚娜时间,http://p2.music.126.net/OZKRcd_TlrorsOla-I2FnQ==/109951164840466893.jpg,"游戏,兴奋,感动",每个人都有想要守护的东西这和强弱无关即使再弱的人也可以想方设法保护自己重要的宝物那一刻你就是世界上最...
3207470019,为了世界上所有的美好而战！！,http://p2.music.126.net/puZoXpSkjIWBT9o0lOettA==/109951168488764377.jpg,"华语,欧美,日语",6年的时光转瞬即逝，陪伴了5年的故事已经结束。从前那个幼稚的我也已长大成人。谢谢崩坏三，谢谢这些女孩...
434256234,东方Project［经典的幻想乡神曲］,http://p2.music.126.net/pfAn8ma5TfCge6Is1QeoDQ==/109951163582495756.jpg,"ACG,兴奋,感动",千年幻想乡，万年梦东方这份歌单收录了东方Project中那些被大众认可的神曲，如果你发现一首歌的评论...
2315056974,乐符『东方缝纫机』,http://p2.music.126.net/1Xh4fJpRiLvT-7J1Y9Q6IQ==/109951168239274455.jpg,"日语,流行,下午茶",“如果愿望是有型的，我希望可以用星光和火花来作为遇见你的前奏。”
955211856,『东方/Funk』幻想乡不一样的市井气息,http://p2.music.126.net/OMxOy_Fdp1o0e4aO-N3V9A==/18999560928368808.jpg,"舞曲,兴奋,ACG",夜幕降临，华灯初上，幻想乡告别了往日的寂静，伴随着跳动的音符，少女们跳着funky的舞步在这世外桃源...
2215018325,NHK全高达大投票歌曲排名,http://p1.music.126.net/P073aUaoGQyOST5COp5yIA==/109951163284584969.jpg,"日语,ACG",https://www.nhk.or.jp/anime/gundam/
