song_id,song_name,song_url
819663,あんなに一绪だったのに,https://p1.music.126.net/5HUNsCwH8bAh8SqMniylcQ==/109951166004144044.jpg
819480,君は僕に似ている,https://p1.music.126.net/PcEQlItBgoHcL1EDgNuEbQ==/4457420139014632.jpg
4918586,あんなに一绪だったのに ~ReTracks,https://p2.music.126.net/Rv3nlUGJ8FD6aC7YjM6xmw==/5894481836510292.jpg
819483,静寂はヘッドフォンの中,https://p1.music.126.net/PcEQlItBgoHcL1EDgNuEbQ==/4457420139014632.jpg
22824464,記憶,https://p1.music.126.net/3X4q_4Lx02zZCl-OAiPifQ==/109951166004074863.jpg
28481061,君は僕に似ている ~ReMix2013,https://p2.music.126.net/7vXXqIsAgWLIUGSjGDCYOQ==/5805421394851181.jpg
4970257,あんなに一緒だったのに2006,https://p1.music.126.net/WyNlfOl-3C0HBBM8IjLTgg==/109951165234618268.jpg
22824459,黄昏の海,https://p2.music.126.net/3X4q_4Lx02zZCl-OAiPifQ==/109951166004074863.jpg
4939844,あんなに一緒だったのに,https://p1.music.126.net/wqOH5x32HWkLLZ03ISNj4g==/5652589278466570.jpg
819699,優しい夜明け,https://p2.music.126.net/-tiniSMH_l1vXfwbKoBM2w==/109951166004094376.jpg
819666,月ひとつ,https://p1.music.126.net/5HUNsCwH8bAh8SqMniylcQ==/109951166004144044.jpg
4974592,君は仆に似ている TV-Size type2,https://p2.music.126.net/aGxXQJhIS32TrNJ98jbRMA==/5892282813339539.jpg
819601,君がいた物語,https://p1.music.126.net/voLurb2H_ZsN4iIAPiat0w==/109951166004122740.jpg
22824470,千夜一夜,https://p2.music.126.net/3X4q_4Lx02zZCl-OAiPifQ==/109951166004074863.jpg
819696,Obsession,https://p2.music.126.net/-tiniSMH_l1vXfwbKoBM2w==/109951166004094376.jpg
501395,あんなに一緒だったのに TV-SIZE,https://p2.music.126.net/GP4HcecV_mStuGBLTATLqA==/109951165207127448.jpg
1847727230,Kimi wa Boku ni Nite Iru (TV-Size type1),https://p2.music.126.net/kF3KsBZXcwM9bepCeU5h0A==/109951166027096021.jpg
28242628,indio,https://p1.music.126.net/vuAZ2PRAzjR0pg_TiWFJHQ==/109951166004124656.jpg
22824462,君がいた物語　　～Dream Field Mix,https://p1.music.126.net/3X4q_4Lx02zZCl-OAiPifQ==/109951166004074863.jpg
819604,Emerald Green,https://p2.music.126.net/voLurb2H_ZsN4iIAPiat0w==/109951166004122740.jpg
819608,记忆(90sec“Liminality”version),https://p2.music.126.net/voLurb2H_ZsN4iIAPiat0w==/109951166004122740.jpg
572753,edge,https://p2.music.126.net/FYBYVFxjVF1U276xE68_9w==/668503069700000.jpg
819611,君がいた物语(カラオケ),https://p2.music.126.net/voLurb2H_ZsN4iIAPiat0w==/109951166004122740.jpg
22824488,Dakishimete Iru,https://p1.music.126.net/pDFb5fEDtsNkVcbCpXaeHQ==/644313813899101.jpg
22824489,Dareka Watashi to…,https://p2.music.126.net/pDFb5fEDtsNkVcbCpXaeHQ==/644313813899101.jpg
22824458,夏の手紙,https://p1.music.126.net/3X4q_4Lx02zZCl-OAiPifQ==/109951166004074863.jpg
819705,优しい夜明け(karaoke),https://p2.music.126.net/-tiniSMH_l1vXfwbKoBM2w==/109951166004094376.jpg
22824463,love,https://p2.music.126.net/3X4q_4Lx02zZCl-OAiPifQ==/109951166004074863.jpg
819784,キライになりたい,https://p1.music.126.net/l-In_xqqSU3gUaMqrKZxaQ==/650910883655627.jpg
819786,永远,https://p1.music.126.net/l-In_xqqSU3gUaMqrKZxaQ==/650910883655627.jpg
22824471,永遠,https://p1.music.126.net/jBU58DDnf9Iwa2AZs3fQiw==/766359604581836.jpg
22824492,Eien,https://p2.music.126.net/eJ8orxdLrmJCiJ13XZ35Xg==/914793674333306.jpg
22824472,Swimmer,https://p1.music.126.net/jBU58DDnf9Iwa2AZs3fQiw==/766359604581836.jpg
22824493,Kokoro no Ehon,https://p1.music.126.net/eJ8orxdLrmJCiJ13XZ35Xg==/914793674333306.jpg
22824473,素肌,https://p2.music.126.net/jBU58DDnf9Iwa2AZs3fQiw==/766359604581836.jpg
22824494,Uta,https://p2.music.126.net/eJ8orxdLrmJCiJ13XZ35Xg==/914793674333306.jpg
22824475,また会えるから,https://p2.music.126.net/jBU58DDnf9Iwa2AZs3fQiw==/766359604581836.jpg
22824476,抱きしめている,https://p2.music.126.net/jBU58DDnf9Iwa2AZs3fQiw==/766359604581836.jpg
22824478,Chao Tokyo,https://p1.music.126.net/jBU58DDnf9Iwa2AZs3fQiw==/766359604581836.jpg
22824499,Futoumei Suisai Enogu,https://p1.music.126.net/eJ8orxdLrmJCiJ13XZ35Xg==/914793674333306.jpg
22824479,心の絵本,https://p2.music.126.net/jBU58DDnf9Iwa2AZs3fQiw==/766359604581836.jpg
22824500,Timecard Love,https://p1.music.126.net/eJ8orxdLrmJCiJ13XZ35Xg==/914793674333306.jpg
22824480,うた,https://p2.music.126.net/jBU58DDnf9Iwa2AZs3fQiw==/766359604581836.jpg
22824501,Heaven,https://p1.music.126.net/eJ8orxdLrmJCiJ13XZ35Xg==/914793674333306.jpg
22824502,La La Africa,https://p2.music.126.net/eJ8orxdLrmJCiJ13XZ35Xg==/914793674333306.jpg
22824484,不透明水彩絵具,https://p1.music.126.net/jBU58DDnf9Iwa2AZs3fQiw==/766359604581836.jpg
1454679910,君がいた物語　～Dream Field Mix～,https://p2.music.126.net/yyDSQKdnyFwt6cmS_3xq_w==/109951166004048250.jpg
1454679911,遠いティンパニ,https://p2.music.126.net/yyDSQKdnyFwt6cmS_3xq_w==/109951166004048250.jpg
1454679913,うす紅,https://p2.music.126.net/yyDSQKdnyFwt6cmS_3xq_w==/109951166004048250.jpg
1454680156,誰か私と・・・,https://p2.music.126.net/yyDSQKdnyFwt6cmS_3xq_w==/109951166004048250.jpg
